대분류코드,대분류코드명,중분류코드,중분류코드명,소분류코드,소분류코드명
01,사업관리,01,사업관리,01,프로젝트관리
02,경영·회계·사무,01,기획사무,01,경영기획
02,경영·회계·사무,02,총무·인사,01,총무
02,경영·회계·사무,03,재무·회계,01,재무
02,경영·회계·사무,04,생산·품질관리,01,생산관리
03,금융·보험,01,금융,01,금융영업
03,금융·보험,02,보험,01,보험상품개발
04,교육·자연·사회과학,02,평생교육,02,평생교육운영
04,교육·자연·사회과학,03,직업교육,01,직업교육
05,법률·경찰·소방·교도·국방,01,법률,02,지식재산관리
05,법률·경찰·소방·교도·국방,02,소방방재,01,소방
06,보건·의료,01,보건,01,의료기술지원
07,사회복지·종교,01,사회복지,01,사회복지정책
07,사회복지·종교,02,상담,01,직업상담서비스
07,사회복지·종교,03,보육,01,보육
08,문화·예술·디자인·방송,01,문화·예술,01,문화예술경영
08,문화·예술·디자인·방송,02,디자인,01,디자인
08,문화·예술·디자인·방송,03,문화콘텐츠,01,문화콘텐츠기획
09,운전·운송,01,자동차운전·운송,01,자동차운전·운송
09,운전·운송,02,철도운전·운송,01,철도운전운영
09,운전·운송,03,선박운전·운송,01,선박운항
09,운전·운송,04,항공운전·운송,01,항공기조종운송
10,영업판매,01,영업,01,일반·해외영업
10,영업판매,02,부동산,01,부동산컨설팅
10,영업판매,03,판매,01,e-비지니스
11,경비·청소,01,경비,01,경비·경호
11,경비·청소,02,청소,01,청소
12,이용·숙박·여행·오락·스포츠,01,이·미용,01,이·미용서비스
12,이용·숙박·여행·오락·스포츠,02,결혼·장례,01,결혼서비스
12,이용·숙박·여행·오락·스포츠,03,관광·레저,01,여행서비스
12,이용·숙박·여행·오락·스포츠,04,스포츠,01,스포츠용품
13,음식서비스,01,식음료조리·서비스,01,음식조리
14,건설,01,건설공사관리,01,건설시공전관리
14,건설,02,토목,01,토목설계·감리
14,건설,03,건축,01,건축설계·감리
14,건설,04,플랜트,01,플랜트설계·감리
14,건설,05,조경,01,조경
14,건설,06,도시·교통,01,국토·도시계획
14,건설,07,건설기계운전·정비,01,토공기계운전
14,건설,08,해양자원,01,해양환경조사
15,기계,01,기계설계,01,설계기획
15,기계,01,기계설계,02,기계설계
15,기계,02,기계가공,01,절삭가공
15,기계,02,기계가공,02,특수가공
15,기계,03,기계조립·관리,01,기계조립
15,기계,03,기계조립·관리,02,기계생산관리
15,기계,04,기계품질관리,01,기계품질관리
15,기계,05,기계장치설치,01,기계장비설치·정비
15,기계,05,기계장치설치,02,냉동공조설비
15,기계,05,기계장치설치,03,이륜차정비
15,기계,06,자동차,01,자동차설계
15,기계,06,자동차,02,자동차제작
15,기계,06,자동차,03,자동차정비
15,기계,06,자동차,04,자동차정비관리
15,기계,06,자동차,05,자동차관리
15,기계,07,철도차량제작,01,철도차량설계·제작
15,기계,07,철도차량제작,02,철도차량유지보수
15,기계,08,조선,01,선박설계
15,기계,08,조선,02,선체건조
15,기계,08,조선,03,선박의장생산
15,기계,08,조선,04,선박품질관리
15,기계,08,조선,05,선박생산관리
15,기계,08,조선,06,시운전
15,기계,08,조선,07,선박정비
15,기계,08,조선,08,레저선박
15,기계,09,항공기제작,01,항공기설계
15,기계,09,항공기제작,02,항공기제작
15,기계,09,항공기제작,03,항공기정비
15,기계,09,항공기제작,04,항공장비관리
15,기계,10,금형,00,금형(공통)
15,기계,10,금형,01,사출금형
15,기계,10,금형,02,프레스금형
15,기계,10,금형,03,다이캐스팅금형
15,기계,11,스마트공장(smart factory),01,스마트공장(smart factory)설계
15,기계,11,스마트공장(smart factory),02,스마트공장(smart factory)설치
15,기계,11,스마트공장(smart factory),03,스마트공장(smart factory)운영관리
16,재료,01,금속재료,01,금속엔지니어링
16,재료,01,금속재료,02,금속재료제조
16,재료,01,금속재료,03,금속가공
16,재료,01,금속재료,04,표면처리
16,재료,01,금속재료,05,용접
16,재료,01,금속재료,06,비철금속재료제조
16,재료,02,세라믹재료,00,세라믹재료공통
16,재료,02,세라믹재료,03,소성·소결세라믹제조
16,재료,02,세라믹재료,04,용융세라믹제조
16,재료,02,세라믹재료,05,탄소재료제조
17,화학·바이오,01,화학·바이오공통,01,화학물질·품질관리
17,화학·바이오,01,화학·바이오공통,02,화학공정관리
17,화학·바이오,01,화학·바이오공통,03,화학제품연구개발
17,화학·바이오,02,석유·기초화학물,01,석유·천연가스
17,화학·바이오,02,석유·기초화학물,02,기초유기화학물
17,화학·바이오,02,석유·기초화학물,03,기초무기화학물
17,화학·바이오,03,정밀화학,00,정밀화학(공통)
17,화학·바이오,03,정밀화학,01,비료·농약
17,화학·바이오,03,정밀화학,02,기능성정밀화학
17,화학·바이오,03,정밀화학,06,의약품
17,화학·바이오,03,정밀화학,07,화장품
17,화학·바이오,04,플라스틱·고무,01,플라스틱
17,화학·바이오,04,플라스틱·고무,02,고무
17,화학·바이오,05,바이오,01,바이오의약
17,화학·바이오,05,바이오,02,바이오화학
17,화학·바이오,05,바이오,03,바이오기술
18,섬유·의복,01,섬유제조,01,섬유생산
18,섬유·의복,01,섬유제조,02,섬유가공
18,섬유·의복,01,섬유제조,03,섬유생산관리
18,섬유·의복,02,패션,01,패션제품기획
18,섬유·의복,02,패션,02,패션제품생산
18,섬유·의복,02,패션,03,패션제품유통
18,섬유·의복,02,패션,04,신발개발·생산
18,섬유·의복,03,의복관리,01,세탁·수선
19,전기·전자,01,전기,01,발전설비설계
19,전기·전자,01,전기,02,발전설비운영
19,전기·전자,01,전기,03,송배전설비
19,전기·전자,01,전기,04,지능형전력망설비
19,전기·전자,01,전기,05,전기기기제작
19,전기·전자,01,전기,06,전기설비설계·감리
19,전기·전자,01,전기,07,전기공사
19,전기·전자,01,전기,08,전기자동제어
19,전기·전자,01,전기,09,전기철도
19,전기·전자,01,전기,10,철도신호제어
19,전기·전자,01,전기,11,초임계CO₂발전
19,전기·전자,01,전기,12,전기저장장치
19,전기·전자,01,전기,13,미래형전기시스템
19,전기·전자,01,전기,14,전지
19,전기·전자,02,전자기기일반,01,전자제품개발기획·생산
19,전기·전자,02,전자기기일반,02,전자부품기획·생산
19,전기·전자,02,전자기기일반,03,전자제품고객지원
19,전기·전자,03,전자기기개발,01,가전기기개발
19,전기·전자,03,전자기기개발,02,산업용전자기기개발
19,전기·전자,03,전자기기개발,03,정보통신기기개발
19,전기·전자,03,전자기기개발,04,전자응용기기개발
19,전기·전자,03,전자기기개발,05,전자부품개발
19,전기·전자,03,전자기기개발,06,반도체개발
19,전기·전자,03,전자기기개발,07,디스플레이개발
19,전기·전자,03,전자기기개발,08,로봇개발
19,전기·전자,03,전자기기개발,09,의료장비제조
19,전기·전자,03,전자기기개발,10,광기술개발
19,전기·전자,03,전자기기개발,11,3D프린터개발
19,전기·전자,03,전자기기개발,12,가상훈련시스템개발
19,전기·전자,03,전자기기개발,13,착용형스마트기기
19,전기·전자,03,전자기기개발,14,플렉시블디스플레이개발
19,전기·전자,03,전자기기개발,15,스마트팜개발
19,전기·전자,03,전자기기개발,16,OLED개발
19,전기·전자,03,전자기기개발,17,커넥티드카개발
19,전기·전자,03,전자기기개발,18,자율주행개발
19,전기·전자,03,전자기기개발,19,원격시스템개발
20,정보통신,01,정보기술,01,정보기술전략·계획
20,정보통신,01,정보기술,02,정보기술개발
20,정보통신,01,정보기술,03,정보기술운영
20,정보통신,01,정보기술,04,정보기술관리
20,정보통신,01,정보기술,05,정보기술영업
20,정보통신,01,정보기술,06,정보보호
20,정보통신,01,정보기술,07,인공지능
20,정보통신,01,정보기술,08,블록체인
20,정보통신,01,정보기술,09,스마트물류
20,정보통신,01,정보기술,10,디지털트윈
20,정보통신,01,정보기술,11,개인정보보호
20,정보통신,02,통신기술,01,유선통신구축
20,정보통신,02,통신기술,02,무선통신구축
20,정보통신,02,통신기술,03,통신서비스
20,정보통신,02,통신기술,04,실감형콘텐츠제작
20,정보통신,03,방송기술,01,방송제작기술
20,정보통신,03,방송기술,02,방송플랫폼기술
20,정보통신,03,방송기술,03,방송서비스
21,식품가공,01,식품가공,01,식품가공
21,식품가공,01,식품가공,02,식품저장
21,식품가공,01,식품가공,03,식품유통
21,식품가공,02,제과·제빵·떡제조,01,제과·제빵·떡제조
22,인쇄·목재·가구·공예,01,인쇄·출판,01,출판
22,인쇄·목재·가구·공예,01,인쇄·출판,02,인쇄
22,인쇄·목재·가구·공예,02,공예,01,공예
22,인쇄·목재·가구·공예,02,공예,02,귀금속·보석
23,환경·에너지·안전,01,산업환경,01,수질관리
23,환경·에너지·안전,01,산업환경,02,대기관리
23,환경·에너지·안전,01,산업환경,03,폐기물관리
23,환경·에너지·안전,01,산업환경,04,소음진동관리
23,환경·에너지·안전,01,산업환경,05,토양·지하수관리
23,환경·에너지·안전,02,환경보건,01,환경보건관리
23,환경·에너지·안전,03,자연환경,01,생태복원·관리
23,환경·에너지·안전,04,환경서비스,01,환경경영
23,환경·에너지·안전,04,환경서비스,02,환경평가
23,환경·에너지·안전,05,에너지·자원,01,광산조사·탐사
23,환경·에너지·안전,05,에너지·자원,02,광물·석유자원개발·생산
23,환경·에너지·안전,05,에너지·자원,03,광산환경관리
23,환경·에너지·안전,05,에너지·자원,04,광산보안
23,환경·에너지·안전,05,에너지·자원,05,재생에너지
23,환경·에너지·안전,05,에너지·자원,06,에너지관리
23,환경·에너지·안전,05,에너지·자원,07,신에너지
23,환경·에너지·안전,06,산업안전보건,01,산업안전관리
23,환경·에너지·안전,06,산업안전보건,02,산업보건관리
23,환경·에너지·안전,06,산업안전보건,03,비파괴검사
24,농림어업,01,농업,01,작물재배
24,농림어업,01,농업,02,종자생산·유통
24,농림어업,01,농업,03,농촌개발
24,농림어업,01,농업,04,화훼장식
24,농림어업,02,축산,01,축산자원개발
24,농림어업,02,축산,02,사육관리
24,농림어업,03,임업,01,산림자원조성
24,농림어업,03,임업,02,산림관리
24,농림어업,03,임업,03,임산물생산·가공
24,농림어업,04,수산,01,어업
24,농림어업,04,수산,02,양식
24,농림어업,04,수산,03,수산자원관리
24,농림어업,04,수산,04,어촌개발
